net,length_um
net258,580.1µm
clknet_2_1__leaf_clk,570.75µm
clknet_2_3__leaf_clk,549.8µm
clknet_2_2__leaf_clk,497.62µm
net268,459.37µm
clknet_2_0__leaf_clk,447.75µm
net257,432.2µm
net271,384.72µm
net183,382.47µm
net259,381.89µm
net184,374.905µm
clknet_0_clk,374.75µm
net256,367.56µm
net269,362.7µm
net255,352.09µm
U_TOP.U_CACHE.BUS_RDATA\[1\],351.17µm
U_TOP.U_CACHE.bus_pend_rdata\[23\],342.94µm
net131,339.5µm
U_TOP.U_CACHE.bus_pend_rdata\[17\],338.3µm
U_TOP.U_CACHE.BUS_RDATA\[5\],337.8µm
net270,331.17µm
_1554_,328.53µm
net111,328.3µm
U_TOP.U_CACHE.bus_pend_rdata\[19\],327.02µm
net177,324.97µm
U_TOP.U_CACHE.BUS_RDATA\[2\],324.64µm
U_TOP.U_CACHE.BUS_RDATA\[4\],317.01µm
net176,316.13µm
net175,315.58µm
net118,314.35µm
net230,313.99µm
net38,298.9µm
net206,298.175µm
net127,297.63µm
U_TOP.U_CACHE.bus_pend_rdata\[7\],294.48µm
uo_out[0],293.99µm
U_TOP.U_CACHE.if_mis_req_pend,293.25µm
net351,292.68µm
net109,290.05µm
U_TOP.U_CACHE.bus_pend_rdata\[11\],289.09µm
net185,288.97µm
net352,287.46µm
net204,285.43µm
U_TOP.U_CACHE.BUS_RDATA\[7\],284.41µm
U_TOP.U_CACHE.dm_hit_dphase_wdata\[6\],279.45µm
net145,277.85µm
net201,276.1µm
net48,276.05µm
net51,269.62µm
net287,267.55µm
net54,267.47µm
U_TOP.U_CACHE.bus_pend_rdata\[9\],266.44µm
_2204_,266.195µm
U_TOP.U_CACHE.bus_pend_rdata\[16\],265.54µm
net341,264.63µm
U_TOP.U_CACHE.BUS_RDATA\[0\],263.06µm
_1104_,262.58µm
U_TOP.U_CACHE.dm_hit_dphase_wdata\[0\],261.135µm
net178,260.11µm
net43,259.255µm
net60,258.29µm
net103,257.375µm
U_TOP.U_CACHE.dm_hit_dphase_wdata\[3\],257.36µm
U_TOP.U_CACHE.dm_hit_dphase_wdata\[4\],257.31µm
net174,256.31µm
_1110_,255.64µm
net247,254.98µm
net129,252.3µm
net107,252.27µm
U_TOP.U_CACHE.bus_pend_rdata\[13\],251.72µm
net249,250.07µm
net99,249.8µm
U_TOP.U_CACHE.bus_pend_rdata\[18\],249.42µm
net194,249.275µm
U_TOP.U_CACHE.BUS_RDATA\[3\],248.99µm
net181,248.02µm
U_TOP.U_CACHE.bus_pend_rdata\[15\],247.005µm
net57,246.455µm
net200,245.985µm
net44,244.77µm
net141,244.45µm
U_TOP.U_CACHE.BUS_RDATA\[6\],244.11µm
net46,243.63µm
net123,243.35µm
net45,242.955µm
net140,242.765µm
U_TOP.U_CACHE.bus_pend_rdata\[20\],242.58µm
U_TOP.U_CACHE.bus_pend_rdata\[4\],242.42µm
net172,242.11µm
net120,241.98µm
net142,241.76µm
_0757_,237.21µm
_1258_,236.93µm
_1712_,236.36µm
net117,235.58µm
net53,235.57µm
net28,233.68µm
net49,233.51µm
net124,233.5µm
net71,229.87µm
net104,228.83µm
_0746_,228.03µm
net100,226.32µm
net324,222.44µm
net101,221.82µm
net59,221.23µm
net193,220.96µm
net125,220.32µm
net250,220.02µm
net52,219.56µm
_1351_,218.28µm
_1557_,218.12µm
U_TOP.U_CACHE.bus_pend_rdata\[8\],217.585µm
net41,216.345µm
U_TOP.U_CPU.if_code\[1\],215.85µm
net56,215.715µm
U_TOP.U_CACHE.bus_pend_rdata\[14\],214.815µm
U_TOP.U_CACHE.bus_pend_rdata\[22\],214.3µm
_0950_,213.845µm
net82,212.74µm
net187,212.26µm
net143,212.05µm
U_TOP.U_CACHE.dm_hit_dphase_wdata\[2\],211.91µm
U_TOP.U_CACHE.bus_pend_rdata\[5\],210.69µm
U_TOP.U_CACHE.dm_hit_dphase_wdata\[7\],209.7µm
U_TOP.U_CPU.if_code\[0\],209.425µm
net55,207.675µm
_1354_,206.44µm
U_TOP.U_CACHE.IF_ADDR\[0\],205.5µm
net122,205.38µm
