Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_80_689,VGND,li1,319.9300,220.3200,0.000003
FILLER_80_664,VGND,li1,308.4300,220.3200,0.000003
FILLER_80_627,VGND,li1,291.4100,220.3200,0.000003
FILLER_80_615,VGND,li1,285.8900,220.3200,0.000003
FILLER_80_587,VGND,li1,273.0100,220.3200,0.000003
FILLER_80_522,VGND,li1,243.1100,220.3200,0.000004
FILLER_80_479,VGND,li1,223.3300,220.3200,0.000004
FILLER_80_429,VGND,li1,200.3300,220.3200,0.000004
FILLER_80_413,VGND,li1,192.9700,220.3200,0.000004
FILLER_80_409,VGND,li1,191.8200,220.3200,0.000004
FILLER_80_397,VGND,li1,188.1400,220.3200,0.000004
FILLER_80_391,VGND,li1,182.8500,220.3200,0.000003
FILLER_80_365,VGND,li1,172.0400,220.3200,0.000003
FILLER_80_363,VGND,li1,169.9700,220.3200,0.000003
FILLER_80_359,VGND,li1,168.8200,220.3200,0.000003
FILLER_80_349,VGND,li1,165.1400,220.3200,0.000004
FILLER_80_325,VGND,li1,152.4900,220.3200,0.000004
FILLER_80_309,VGND,li1,145.1300,220.3200,0.000003
FILLER_80_281,VGND,li1,132.2500,220.3200,0.000004
FILLER_80_277,VGND,li1,130.4100,220.3200,0.000004
FILLER_80_272,VGND,li1,128.1100,220.3200,0.000004
FILLER_80_256,VGND,li1,120.7500,220.3200,0.000004
FILLER_80_225,VGND,li1,106.4900,220.3200,0.000004
FILLER_80_195,VGND,li1,92.6900,220.3200,0.000004
FILLER_80_148,VGND,li1,71.5300,220.3200,0.000004
FILLER_80_144,VGND,li1,69.2300,220.3200,0.000004
FILLER_80_136,VGND,li1,66.2400,220.3200,0.000004
FILLER_80_130,VGND,li1,63.2500,220.3200,0.000004
FILLER_80_124,VGND,li1,60.4900,220.3200,0.000003
FILLER_80_118,VGND,li1,57.7300,220.3200,0.000004
FILLER_80_113,VGND,li1,55.2000,220.3200,0.000005
FILLER_80_106,VGND,li1,52.2100,220.3200,0.000005
FILLER_80_100,VGND,li1,49.4500,220.3200,0.000006
FILLER_80_94,VGND,li1,46.6900,220.3200,0.000006
FILLER_80_78,VGND,li1,40.0200,220.3200,0.000008
FILLER_80_73,VGND,li1,36.5700,220.3200,0.000008
FILLER_80_51,VGND,li1,26.4500,220.3200,0.000007
FILLER_80_41,VGND,li1,23.0000,220.3200,0.000005
FILLER_80_29,VGND,li1,18.8600,220.3200,0.000005
FILLER_80_27,VGND,li1,15.4100,220.3200,0.000005
FILLER_80_15,VGND,li1,12.4200,220.3200,0.000005
FILLER_80_3,VGND,li1,6.9000,220.3200,0.000005
FILLER_79_642,VGND,li1,298.3100,220.3200,0.000003
FILLER_79_617,VGND,li1,286.8100,220.3200,0.000003
FILLER_79_591,VGND,li1,274.8500,220.3200,0.000003
FILLER_79_559,VGND,li1,260.1300,220.3200,0.000003
FILLER_79_503,VGND,li1,234.3700,220.3200,0.000004
FILLER_79_474,VGND,li1,221.0300,220.3200,0.000003
FILLER_79_401,VGND,li1,187.4500,220.3200,0.000003
FILLER_79_395,VGND,li1,185.8400,220.3200,0.000003
FILLER_79_391,VGND,li1,182.8500,220.3200,0.000003
FILLER_79_315,VGND,li1,147.8900,220.3200,0.000003
FILLER_79_287,VGND,li1,135.0100,220.3200,0.000003
FILLER_79_214,VGND,li1,101.4300,220.3200,0.000003
FILLER_79_113,VGND,li1,55.2000,220.3200,0.000005
FILLER_79_106,VGND,li1,51.7500,220.3200,0.000005
FILLER_79_74,VGND,li1,37.0300,220.3200,0.000008
FILLER_79_45,VGND,li1,23.6900,220.3200,0.000006
FILLER_79_15,VGND,li1,10.1200,220.3200,0.000005
FILLER_79_3,VGND,li1,6.9000,220.3200,0.000005
FILLER_78_621,VGND,li1,288.6500,214.8800,0.000004
FILLER_78_591,VGND,li1,274.8500,214.8800,0.000005
FILLER_78_563,VGND,li1,261.9700,214.8800,0.000005
FILLER_78_531,VGND,li1,247.2500,214.8800,0.000008
FILLER_78_475,VGND,li1,221.4900,214.8800,0.000007
FILLER_78_399,VGND,li1,186.5300,214.8800,0.000003
FILLER_78_365,VGND,li1,171.5800,214.8800,0.000002
FILLER_78_360,VGND,li1,169.2800,214.8800,0.000003
FILLER_78_309,VGND,li1,145.1300,214.8800,0.000003
FILLER_78_242,VGND,li1,114.3100,214.8800,0.000005
FILLER_78_162,VGND,li1,77.5100,214.8800,0.000004
FILLER_78_150,VGND,li1,73.1400,214.8800,0.000003
FILLER_78_139,VGND,li1,66.9300,214.8800,0.000003
FILLER_78_131,VGND,li1,64.8600,214.8800,0.000002
FILLER_78_119,VGND,li1,60.2600,214.8800,0.000002
FILLER_78_102,VGND,li1,50.1400,214.8800,0.000002
FILLER_78_80,VGND,li1,40.4800,214.8800,0.000002
FILLER_78_44,VGND,li1,23.2300,214.8800,0.000002
FILLER_78_29,VGND,li1,16.3300,214.8800,0.000003
FILLER_78_3,VGND,li1,4.6000,214.8800,0.000004
FILLER_77_712,VGND,li1,330.5100,214.8800,0.000006
FILLER_77_571,VGND,li1,265.6500,214.8800,0.000005
FILLER_77_559,VGND,li1,260.1300,214.8800,0.000005
FILLER_77_522,VGND,li1,243.1100,214.8800,0.000009
FILLER_77_503,VGND,li1,234.3700,214.8800,0.000011
FILLER_77_434,VGND,li1,202.6300,214.8800,0.000004
FILLER_77_393,VGND,li1,185.3800,214.8800,0.000003
FILLER_77_384,VGND,li1,181.2400,214.8800,0.000002
FILLER_77_362,VGND,li1,171.1200,214.8800,0.000002
FILLER_77_315,VGND,li1,147.8900,214.8800,0.000003
FILLER_77_277,VGND,li1,130.4100,214.8800,0.000005
FILLER_77_223,VGND,li1,105.5700,214.8800,0.000004
FILLER_77_204,VGND,li1,96.8300,214.8800,0.000004
FILLER_77_167,VGND,li1,79.8100,214.8800,0.000004
FILLER_77_125,VGND,li1,61.1800,214.8800,0.000002
FILLER_77_113,VGND,li1,57.5000,214.8800,0.000002
FILLER_77_111,VGND,li1,54.0500,214.8800,0.000002
FILLER_77_95,VGND,li1,46.9200,214.8800,0.000002
FILLER_77_83,VGND,li1,41.4000,214.8800,0.000002
FILLER_77_71,VGND,li1,38.1800,214.8800,0.000002
FILLER_77_60,VGND,li1,31.0500,214.8800,0.000002
FILLER_77_45,VGND,li1,24.3800,214.8800,0.000002
FILLER_77_29,VGND,li1,16.3300,214.8800,0.000003
FILLER_77_7,VGND,li1,6.2100,214.8800,0.000004
FILLER_77_3,VGND,li1,5.0600,214.8800,0.000004
FILLER_76_712,VGND,li1,330.5100,209.4400,0.000007
FILLER_76_658,VGND,li1,305.6700,209.4400,0.000005
FILLER_76_600,VGND,li1,278.9900,209.4400,0.000004
FILLER_76_436,VGND,li1,203.5500,209.4400,0.000003
FILLER_76_414,VGND,li1,193.6600,209.4400,0.000003
FILLER_76_405,VGND,li1,189.2900,209.4400,0.000003
FILLER_76_395,VGND,li1,185.1500,209.4400,0.000003
FILLER_76_388,VGND,li1,181.9300,209.4400,0.000003
FILLER_76_369,VGND,li1,172.7300,209.4400,0.000003
FILLER_76_365,VGND,li1,171.5800,209.4400,0.000004
FILLER_76_362,VGND,li1,169.7400,209.4400,0.000004
FILLER_76_350,VGND,li1,166.5200,209.4400,0.000005
FILLER_76_329,VGND,li1,154.3300,209.4400,0.000007
FILLER_76_313,VGND,li1,146.9700,209.4400,0.000007
FILLER_76_277,VGND,li1,130.4100,209.4400,0.000007
FILLER_76_253,VGND,li1,119.3700,209.4400,0.000009
FILLER_76_232,VGND,li1,109.7100,209.4400,0.000009
FILLER_76_195,VGND,li1,92.6900,209.4400,0.000007
FILLER_76_165,VGND,li1,78.8900,209.4400,0.000008
FILLER_76_153,VGND,li1,74.0600,209.4400,0.000007
FILLER_76_141,VGND,li1,68.5400,209.4400,0.000005
FILLER_76_139,VGND,li1,66.9300,209.4400,0.000004
FILLER_76_136,VGND,li1,65.5500,209.4400,0.000004
FILLER_76_124,VGND,li1,62.5600,209.4400,0.000003
