Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_80_689,VPWR,li1,319.9300,223.0400,1.800000
FILLER_80_664,VPWR,li1,308.4300,223.0400,1.800000
FILLER_80_627,VPWR,li1,291.4100,223.0400,1.800000
FILLER_80_615,VPWR,li1,285.8900,223.0400,1.799999
FILLER_80_587,VPWR,li1,273.0100,223.0400,1.799999
FILLER_80_522,VPWR,li1,243.1100,223.0400,1.799999
FILLER_80_479,VPWR,li1,223.3300,223.0400,1.799999
FILLER_80_429,VPWR,li1,200.3300,223.0400,1.799999
FILLER_80_413,VPWR,li1,192.9700,223.0400,1.799999
FILLER_80_409,VPWR,li1,191.8200,223.0400,1.799999
FILLER_80_397,VPWR,li1,188.1400,223.0400,1.799999
FILLER_80_391,VPWR,li1,182.8500,223.0400,1.799999
FILLER_80_365,VPWR,li1,172.0400,223.0400,1.799999
FILLER_80_363,VPWR,li1,169.9700,223.0400,1.799999
FILLER_80_359,VPWR,li1,168.8200,223.0400,1.799999
FILLER_80_349,VPWR,li1,165.1400,223.0400,1.799999
FILLER_80_325,VPWR,li1,152.4900,223.0400,1.799999
FILLER_80_309,VPWR,li1,145.1300,223.0400,1.799999
FILLER_80_281,VPWR,li1,132.2500,223.0400,1.799999
FILLER_80_277,VPWR,li1,130.4100,223.0400,1.799999
FILLER_80_272,VPWR,li1,128.1100,223.0400,1.799999
FILLER_80_256,VPWR,li1,120.7500,223.0400,1.799999
FILLER_80_225,VPWR,li1,106.4900,223.0400,1.799999
FILLER_80_195,VPWR,li1,92.6900,223.0400,1.799999
FILLER_80_148,VPWR,li1,71.5300,223.0400,1.799998
FILLER_80_144,VPWR,li1,69.2300,223.0400,1.799998
FILLER_80_136,VPWR,li1,66.2400,223.0400,1.799998
FILLER_80_130,VPWR,li1,63.2500,223.0400,1.799998
FILLER_80_124,VPWR,li1,60.4900,223.0400,1.799998
FILLER_80_118,VPWR,li1,57.7300,223.0400,1.799998
FILLER_80_113,VPWR,li1,55.2000,223.0400,1.799998
FILLER_80_106,VPWR,li1,52.2100,223.0400,1.799997
FILLER_80_100,VPWR,li1,49.4500,223.0400,1.799997
FILLER_80_94,VPWR,li1,46.6900,223.0400,1.799996
FILLER_80_78,VPWR,li1,40.0200,223.0400,1.799995
FILLER_80_73,VPWR,li1,36.5700,223.0400,1.799994
FILLER_80_51,VPWR,li1,26.4500,223.0400,1.799995
FILLER_80_41,VPWR,li1,23.0000,223.0400,1.799995
FILLER_80_29,VPWR,li1,18.8600,223.0400,1.799997
FILLER_80_27,VPWR,li1,15.4100,223.0400,1.799997
FILLER_80_15,VPWR,li1,12.4200,223.0400,1.799997
FILLER_80_3,VPWR,li1,6.9000,223.0400,1.799997
FILLER_79_642,VPWR,li1,298.3100,217.6000,1.799996
FILLER_79_617,VPWR,li1,286.8100,217.6000,1.799996
FILLER_79_591,VPWR,li1,274.8500,217.6000,1.799994
FILLER_79_559,VPWR,li1,260.1300,217.6000,1.799994
FILLER_79_503,VPWR,li1,234.3700,217.6000,1.799986
FILLER_79_474,VPWR,li1,221.0300,217.6000,1.799990
FILLER_79_401,VPWR,li1,187.4500,217.6000,1.799995
FILLER_79_395,VPWR,li1,185.8400,217.6000,1.799995
FILLER_79_391,VPWR,li1,182.8500,217.6000,1.799995
FILLER_79_315,VPWR,li1,147.8900,217.6000,1.799995
FILLER_79_287,VPWR,li1,135.0100,217.6000,1.799996
FILLER_79_214,VPWR,li1,101.4300,217.6000,1.799996
FILLER_79_113,VPWR,li1,55.2000,217.6000,1.799997
FILLER_79_106,VPWR,li1,51.7500,217.6000,1.799997
FILLER_79_74,VPWR,li1,37.0300,217.6000,1.799996
FILLER_79_45,VPWR,li1,23.6900,217.6000,1.799996
FILLER_79_15,VPWR,li1,10.1200,217.6000,1.799996
FILLER_79_3,VPWR,li1,6.9000,217.6000,1.799996
FILLER_78_621,VPWR,li1,288.6500,217.6000,1.799996
FILLER_78_591,VPWR,li1,274.8500,217.6000,1.799994
FILLER_78_563,VPWR,li1,261.9700,217.6000,1.799993
FILLER_78_531,VPWR,li1,247.2500,217.6000,1.799990
FILLER_78_475,VPWR,li1,221.4900,217.6000,1.799990
FILLER_78_399,VPWR,li1,186.5300,217.6000,1.799995
FILLER_78_365,VPWR,li1,171.5800,217.6000,1.799996
FILLER_78_360,VPWR,li1,169.2800,217.6000,1.799996
FILLER_78_309,VPWR,li1,145.1300,217.6000,1.799995
FILLER_78_242,VPWR,li1,114.3100,217.6000,1.799994
FILLER_78_162,VPWR,li1,77.5100,217.6000,1.799996
FILLER_78_150,VPWR,li1,73.1400,217.6000,1.799996
FILLER_78_139,VPWR,li1,66.9300,217.6000,1.799996
FILLER_78_131,VPWR,li1,64.8600,217.6000,1.799997
FILLER_78_119,VPWR,li1,60.2600,217.6000,1.799997
FILLER_78_102,VPWR,li1,50.1400,217.6000,1.799997
FILLER_78_80,VPWR,li1,40.4800,217.6000,1.799996
FILLER_78_44,VPWR,li1,23.2300,217.6000,1.799996
FILLER_78_29,VPWR,li1,16.3300,217.6000,1.799997
FILLER_78_3,VPWR,li1,4.6000,217.6000,1.799996
FILLER_77_712,VPWR,li1,330.5100,212.1600,1.799999
FILLER_77_571,VPWR,li1,265.6500,212.1600,1.799999
FILLER_77_559,VPWR,li1,260.1300,212.1600,1.799999
FILLER_77_522,VPWR,li1,243.1100,212.1600,1.799999
FILLER_77_503,VPWR,li1,234.3700,212.1600,1.799998
FILLER_77_434,VPWR,li1,202.6300,212.1600,1.799998
FILLER_77_393,VPWR,li1,185.3800,212.1600,1.799999
FILLER_77_384,VPWR,li1,181.2400,212.1600,1.799999
FILLER_77_362,VPWR,li1,171.1200,212.1600,1.799998
FILLER_77_315,VPWR,li1,147.8900,212.1600,1.799996
FILLER_77_277,VPWR,li1,130.4100,212.1600,1.799994
FILLER_77_223,VPWR,li1,105.5700,212.1600,1.799992
FILLER_77_204,VPWR,li1,96.8300,212.1600,1.799995
FILLER_77_167,VPWR,li1,79.8100,212.1600,1.799996
FILLER_77_125,VPWR,li1,61.1800,212.1600,1.799998
FILLER_77_113,VPWR,li1,57.5000,212.1600,1.799999
FILLER_77_111,VPWR,li1,54.0500,212.1600,1.799999
FILLER_77_95,VPWR,li1,46.9200,212.1600,1.799999
FILLER_77_83,VPWR,li1,41.4000,212.1600,1.799999
FILLER_77_71,VPWR,li1,38.1800,212.1600,1.799999
FILLER_77_60,VPWR,li1,31.0500,212.1600,1.799999
FILLER_77_45,VPWR,li1,24.3800,212.1600,1.799999
FILLER_77_29,VPWR,li1,16.3300,212.1600,1.799998
FILLER_77_7,VPWR,li1,6.2100,212.1600,1.799998
FILLER_77_3,VPWR,li1,5.0600,212.1600,1.799998
FILLER_76_712,VPWR,li1,330.5100,212.1600,1.799999
FILLER_76_658,VPWR,li1,305.6700,212.1600,1.799998
FILLER_76_600,VPWR,li1,278.9900,212.1600,1.799999
FILLER_76_436,VPWR,li1,203.5500,212.1600,1.799998
FILLER_76_414,VPWR,li1,193.6600,212.1600,1.799998
FILLER_76_405,VPWR,li1,189.2900,212.1600,1.799998
FILLER_76_395,VPWR,li1,185.1500,212.1600,1.799999
FILLER_76_388,VPWR,li1,181.9300,212.1600,1.799999
FILLER_76_369,VPWR,li1,172.7300,212.1600,1.799998
FILLER_76_365,VPWR,li1,171.5800,212.1600,1.799998
FILLER_76_362,VPWR,li1,169.7400,212.1600,1.799998
FILLER_76_350,VPWR,li1,166.5200,212.1600,1.799997
FILLER_76_329,VPWR,li1,154.3300,212.1600,1.799996
FILLER_76_313,VPWR,li1,146.9700,212.1600,1.799996
FILLER_76_277,VPWR,li1,130.4100,212.1600,1.799994
FILLER_76_253,VPWR,li1,119.3700,212.1600,1.799991
FILLER_76_232,VPWR,li1,109.7100,212.1600,1.799990
FILLER_76_195,VPWR,li1,92.6900,212.1600,1.799995
FILLER_76_165,VPWR,li1,78.8900,212.1600,1.799996
FILLER_76_153,VPWR,li1,74.0600,212.1600,1.799996
FILLER_76_141,VPWR,li1,68.5400,212.1600,1.799997
FILLER_76_139,VPWR,li1,66.9300,212.1600,1.799998
FILLER_76_136,VPWR,li1,65.5500,212.1600,1.799998
FILLER_76_124,VPWR,li1,62.5600,212.1600,1.799998
FILLER_76_115,VPWR,li1,55.8900,212.1600,1.799999
FILLER_76_105,VPWR,li1,51.9800,212.1600,1.799999
FILLER_76_91,VPWR,li1,45.0800,212.1600,1.799999
FILLER_76_83,VPWR,li1,41.1700,212.1600,1.799999
FILLER_76_79,VPWR,li1,40.0200,212.1600,1.799999
FILLER_76_67,VPWR,li1,36.3400,212.1600,1.799999
FILLER_76_60,VPWR,li1,30.8200,212.1600,1.799999
FILLER_76_51,VPWR,li1,26.4500,212.1600,1.799999
FILLER_76_25,VPWR,li1,14.9500,212.1600,1.799998
FILLER_76_3,VPWR,li1,4.6000,212.1600,1.799998
FILLER_75_712,VPWR,li1,330.5100,206.7200,1.799997
FILLER_75_671,VPWR,li1,311.6500,206.7200,1.799993
FILLER_75_509,VPWR,li1,237.1300,206.7200,1.799997
FILLER_75_486,VPWR,li1,226.5500,206.7200,1.799997
FILLER_75_449,VPWR,li1,209.5300,206.7200,1.799998
FILLER_75_441,VPWR,li1,205.8500,206.7200,1.799998
FILLER_75_391,VPWR,li1,182.8500,206.7200,1.799998
FILLER_75_366,VPWR,li1,171.8100,206.7200,1.799998
FILLER_75_354,VPWR,li1,168.3600,206.7200,1.799997
FILLER_75_311,VPWR,li1,146.0500,206.7200,1.799995
FILLER_75_273,VPWR,li1,128.5700,206.7200,1.799996
FILLER_75_206,VPWR,li1,97.7500,206.7200,1.799996
FILLER_75_156,VPWR,li1,74.7500,206.7200,1.799993
FILLER_75_150,VPWR,li1,73.1400,206.7200,1.799993
FILLER_75_141,VPWR,li1,68.0800,206.7200,1.799994
FILLER_75_133,VPWR,li1,65.7800,206.7200,1.799995
FILLER_75_113,VPWR,li1,55.4300,206.7200,1.799998
FILLER_75_111,VPWR,li1,54.0500,206.7200,1.799998
FILLER_75_107,VPWR,li1,52.9000,206.7200,1.799998
FILLER_75_95,VPWR,li1,49.2200,206.7200,1.799998
FILLER_75_88,VPWR,li1,43.7000,206.7200,1.799998
FILLER_75_80,VPWR,li1,41.4000,206.7200,1.799998
FILLER_75_68,VPWR,li1,36.8000,206.7200,1.799999
FILLER_75_57,VPWR,li1,30.8200,206.7200,1.799999
FILLER_75_55,VPWR,li1,28.2900,206.7200,1.799999
FILLER_75_49,VPWR,li1,26.6800,206.7200,1.799999
FILLER_75_37,VPWR,li1,22.5400,206.7200,1.799999
FILLER_75_23,VPWR,li1,14.0300,206.7200,1.800000
FILLER_75_15,VPWR,li1,11.5000,206.7200,1.800000
FILLER_75_3,VPWR,li1,6.9000,206.7200,1.800000
FILLER_74_670,VPWR,li1,311.1900,206.7200,1.799993
FILLER_74_622,VPWR,li1,289.1100,206.7200,1.799995
FILLER_74_599,VPWR,li1,278.5300,206.7200,1.799995
FILLER_74_558,VPWR,li1,259.6700,206.7200,1.799996
FILLER_74_492,VPWR,li1,229.3100,206.7200,1.799997
FILLER_74_445,VPWR,li1,207.6900,206.7200,1.799998
FILLER_74_309,VPWR,li1,145.1300,206.7200,1.799995
FILLER_74_251,VPWR,li1,118.4500,206.7200,1.799996
FILLER_74_173,VPWR,li1,83.0300,206.7200,1.799993
FILLER_74_149,VPWR,li1,71.7600,206.7200,1.799994
FILLER_74_141,VPWR,li1,69.4600,206.7200,1.799994
FILLER_74_136,VPWR,li1,66.2400,206.7200,1.799995
FILLER_74_124,VPWR,li1,62.5600,206.7200,1.799996
FILLER_74_109,VPWR,li1,53.1300,206.7200,1.799998
FILLER_74_97,VPWR,li1,50.1400,206.7200,1.799998
FILLER_74_85,VPWR,li1,44.6200,206.7200,1.799998
FILLER_74_57,VPWR,li1,29.4400,206.7200,1.799999
FILLER_74_49,VPWR,li1,27.1400,206.7200,1.799999
FILLER_74_37,VPWR,li1,22.5400,206.7200,1.799999
FILLER_74_15,VPWR,li1,11.5000,206.7200,1.800000
FILLER_74_3,VPWR,li1,6.9000,206.7200,1.800000
FILLER_73_675,VPWR,li1,313.4900,201.2800,1.799997
FILLER_73_615,VPWR,li1,285.8900,201.2800,1.799996
FILLER_73_610,VPWR,li1,283.5900,201.2800,1.799995
FILLER_73_566,VPWR,li1,263.3500,201.2800,1.799994
FILLER_73_503,VPWR,li1,234.3700,201.2800,1.799996
FILLER_73_447,VPWR,li1,208.6100,201.2800,1.799996
FILLER_73_429,VPWR,li1,200.3300,201.2800,1.799995
FILLER_73_393,VPWR,li1,184.2300,201.2800,1.799995
FILLER_73_371,VPWR,li1,173.6500,201.2800,1.799997
FILLER_73_339,VPWR,li1,158.9300,201.2800,1.799998
FILLER_73_314,VPWR,li1,147.4300,201.2800,1.799998
FILLER_73_281,VPWR,li1,132.2500,201.2800,1.799999
FILLER_73_266,VPWR,li1,125.3500,201.2800,1.799998
FILLER_73_186,VPWR,li1,88.7800,201.2800,1.799998
FILLER_73_169,VPWR,li1,80.7300,201.2800,1.799998
FILLER_73_142,VPWR,li1,69.4600,201.2800,1.799998
FILLER_73_130,VPWR,li1,65.3200,201.2800,1.799999
FILLER_73_108,VPWR,li1,52.6700,201.2800,1.799999
FILLER_73_101,VPWR,li1,49.6800,201.2800,1.799999
FILLER_73_93,VPWR,li1,47.3800,201.2800,1.799999
FILLER_73_81,VPWR,li1,42.7800,201.2800,1.800000
FILLER_73_69,VPWR,li1,37.2600,201.2800,1.800000
FILLER_73_57,VPWR,li1,29.6700,201.2800,1.800000
FILLER_73_55,VPWR,li1,28.2900,201.2800,1.800000
FILLER_73_43,VPWR,li1,25.3000,201.2800,1.800000
FILLER_73_15,VPWR,li1,9.8900,201.2800,1.800000
FILLER_73_3,VPWR,li1,6.9000,201.2800,1.800000
FILLER_72_645,VPWR,li1,299.6900,201.2800,1.799997
FILLER_72_632,VPWR,li1,293.7100,201.2800,1.799997
FILLER_72_603,VPWR,li1,280.3700,201.2800,1.799994
FILLER_72_546,VPWR,li1,254.1500,201.2800,1.799996
FILLER_72_479,VPWR,li1,223.3300,201.2800,1.799996
FILLER_72_434,VPWR,li1,202.6300,201.2800,1.799995
FILLER_72_419,VPWR,li1,195.7300,201.2800,1.799994
FILLER_72_395,VPWR,li1,184.6900,201.2800,1.799994
FILLER_72_380,VPWR,li1,178.0200,201.2800,1.799996
FILLER_72_372,VPWR,li1,175.7200,201.2800,1.799997
FILLER_72_369,VPWR,li1,172.7300,201.2800,1.799997
FILLER_72_363,VPWR,li1,169.9700,201.2800,1.799997
FILLER_72_340,VPWR,li1,159.3900,201.2800,1.799998
FILLER_72_320,VPWR,li1,150.1900,201.2800,1.799998
FILLER_72_309,VPWR,li1,145.1300,201.2800,1.799998
FILLER_72_307,VPWR,li1,144.2100,201.2800,1.799998
FILLER_72_262,VPWR,li1,123.5100,201.2800,1.799998
FILLER_72_213,VPWR,li1,100.9700,201.2800,1.799998
FILLER_72_159,VPWR,li1,76.1300,201.2800,1.799998
FILLER_72_153,VPWR,li1,74.5200,201.2800,1.799998
FILLER_72_141,VPWR,li1,70.3800,201.2800,1.799998
FILLER_72_136,VPWR,li1,66.2400,201.2800,1.799999
FILLER_72_102,VPWR,li1,49.9100,201.2800,1.799999
FILLER_72_94,VPWR,li1,47.8400,201.2800,1.799999
FILLER_72_89,VPWR,li1,44.1600,201.2800,1.800000
FILLER_72_78,VPWR,li1,40.0200,201.2800,1.800000
FILLER_72_58,VPWR,li1,31.2800,201.2800,1.800000
FILLER_72_47,VPWR,li1,25.0700,201.2800,1.800000
FILLER_72_39,VPWR,li1,22.5400,201.2800,1.800000
FILLER_72_26,VPWR,li1,15.1800,201.2800,1.800000
FILLER_72_15,VPWR,li1,11.5000,201.2800,1.800000
FILLER_72_3,VPWR,li1,6.9000,201.2800,1.800000
FILLER_71_712,VPWR,li1,330.5100,195.8400,1.799999
FILLER_71_651,VPWR,li1,302.4500,195.8400,1.799998
FILLER_71_530,VPWR,li1,246.7900,195.8400,1.799997
FILLER_71_507,VPWR,li1,236.2100,195.8400,1.799997
FILLER_71_486,VPWR,li1,226.5500,195.8400,1.799997
FILLER_71_449,VPWR,li1,210.2200,195.8400,1.799998
FILLER_71_376,VPWR,li1,177.5600,195.8400,1.799999
FILLER_71_364,VPWR,li1,172.9600,195.8400,1.799999
FILLER_71_346,VPWR,li1,162.1500,195.8400,1.799999
FILLER_71_337,VPWR,li1,158.0100,195.8400,1.799999
FILLER_71_335,VPWR,li1,157.0900,195.8400,1.799999
FILLER_71_309,VPWR,li1,145.1300,195.8400,1.799999
FILLER_71_261,VPWR,li1,123.0500,195.8400,1.799998
FILLER_71_217,VPWR,li1,102.8100,195.8400,1.799999
FILLER_71_211,VPWR,li1,101.2000,195.8400,1.799999
FILLER_71_153,VPWR,li1,73.3700,195.8400,1.799999
FILLER_71_141,VPWR,li1,70.3800,195.8400,1.799999
FILLER_71_129,VPWR,li1,64.8600,195.8400,1.799999
FILLER_71_118,VPWR,li1,57.5000,195.8400,1.799999
FILLER_71_83,VPWR,li1,43.7000,195.8400,1.799999
FILLER_71_78,VPWR,li1,38.8700,195.8400,1.799999
FILLER_71_67,VPWR,li1,34.9600,195.8400,1.799999
FILLER_71_57,VPWR,li1,29.6700,195.8400,1.799999
FILLER_71_39,VPWR,li1,23.4600,195.8400,1.800000
FILLER_71_23,VPWR,li1,13.8000,195.8400,1.800000
FILLER_71_15,VPWR,li1,11.5000,195.8400,1.800000
FILLER_71_3,VPWR,li1,6.9000,195.8400,1.800000
FILLER_70_555,VPWR,li1,258.2900,195.8400,1.799997
FILLER_70_482,VPWR,li1,224.7100,195.8400,1.799997
FILLER_70_479,VPWR,li1,223.3300,195.8400,1.799997
FILLER_70_419,VPWR,li1,195.7300,195.8400,1.799998
FILLER_70_369,VPWR,li1,173.4200,195.8400,1.799999
FILLER_70_363,VPWR,li1,169.9700,195.8400,1.799999
FILLER_70_309,VPWR,li1,145.1300,195.8400,1.799999
FILLER_70_302,VPWR,li1,141.9100,195.8400,1.799999
